Title,Abstract,Cleaned Abstract,Year,Citation Count
Membership Inference Attacks Against Machine Learning Models,"We quantitatively investigate how machine learning models leak information about the individual data records on which they were trained. We focus on the basic membership inference attack: given a data record and black-box access to a model, determine if the record was in the model's training dataset. To perform membership inference against a target model, we make adversarial use of machine learning and train our own inference model to recognize differences in the target model's predictions on the inputs that it trained on versus the inputs that it did not train on. We empirically evaluate our inference techniques on classification models trained by commercial ""machine learning as a service"" providers such as Google and Amazon. Using realistic datasets and classification tasks, including a hospital discharge dataset whose membership is sensitive from the privacy perspective, we show that these models can be vulnerable to membership inference attacks. We then investigate the factors that influence this leakage and evaluate mitigation strategies.",quantit investig machin learn model leak inform individu data record train focu basic membership infer attack given data record blackbox access model determin record model train dataset perform membership infer target model make adversari use machin learn train infer model recogn differ target model predict input train versu input train empir evalu infer techniqu classif model train commerci machin learn servic provid googl amazon use realist dataset classif task includ hospit discharg dataset whose membership sensit privaci perspect show model vulner membership infer attack investig factor influenc leakag evalu mitig strategi,2016,3771
Foundations of Machine Learning,,,2021,3011
"Machine Learning: Algorithms, Real-World Applications and Research Directions",,,2021,2483
Scikit-learn: Machine Learning in Python,"Scikit-learn is a Python module integrating a wide range of state-of-the-art machine learning algorithms for medium-scale supervised and unsupervised problems. This package focuses on bringing machine learning to non-specialists using a general-purpose high-level language. Emphasis is put on ease of use, performance, documentation, and API consistency. It has minimal dependencies and is distributed under the simplified BSD license, encouraging its use in both academic and commercial settings. Source code, binaries, and documentation can be downloaded from http://scikit-learn.sourceforge.net.",scikitlearn python modul integr wide rang stateoftheart machin learn algorithm mediumscal supervis unsupervis problem packag focus bring machin learn nonspecialist use generalpurpos highlevel languag emphasi put ea use perform document api consist minim depend distribut simplifi bsd licens encourag use academ commerci set sourc code binari document download httpscikitlearnsourceforgenet,2011,72412
"Machine learning: Trends, perspectives, and prospects","Machine learning addresses the question of how to build computers that improve automatically through experience. It is one of today’s most rapidly growing technical fields, lying at the intersection of computer science and statistics, and at the core of artificial intelligence and data science. Recent progress in machine learning has been driven both by the development of new learning algorithms and theory and by the ongoing explosion in the availability of online data and low-cost computation. The adoption of data-intensive machine-learning methods can be found throughout science, technology and commerce, leading to more evidence-based decision-making across many walks of life, including health care, manufacturing, education, financial modeling, policing, and marketing.",machin learn address question build comput improv automat experi one today rapidli grow technic field lie intersect comput scienc statist core artifici intellig data scienc recent progress machin learn driven develop new learn algorithm theori ongo explos avail onlin data lowcost comput adopt dataintens machinelearn method found throughout scienc technolog commerc lead evidencebas decisionmak across mani walk life includ health care manufactur educ financi model polic market,2015,6278
Towards A Rigorous Science of Interpretable Machine Learning,"As machine learning systems become ubiquitous, there has been a surge of interest in interpretable machine learning: systems that provide explanation for their outputs. These explanations are often used to qualitatively assess other criteria such as safety or non-discrimination. However, despite the interest in interpretability, there is very little consensus on what interpretable machine learning is and how it should be measured. In this position paper, we first define interpretability and describe when interpretability is needed (and when it is not). Next, we suggest a taxonomy for rigorous evaluation and expose open questions towards a more rigorous science of interpretable machine learning.",machin learn system becom ubiquit surg interest interpret machin learn system provid explan output explan often use qualit assess criterion safeti nondiscrimin howev despit interest interpret littl consensu interpret machin learn measur posit paper first defin interpret describ interpret need next suggest taxonomi rigor evalu expo open question toward rigor scienc interpret machin learn,2017,3416
C4.5: Programs for Machine Learning,"From the Publisher: 
Classifier systems play a major role in machine learning and knowledge-based systems, and Ross Quinlan's work on ID3 and C4.5 is widely acknowledged to have made some of the most significant contributions to their development. This book is a complete guide to the C4.5 system as implemented in C for the UNIX environment. It contains a comprehensive guide to the system's use , the source code (about 8,800 lines), and implementation notes. The source code and sample datasets are also available on a 3.5-inch floppy diskette for a Sun workstation. 
 
C4.5 starts with large sets of cases belonging to known classes. The cases, described by any mixture of nominal and numeric properties, are scrutinized for patterns that allow the classes to be reliably discriminated. These patterns are then expressed as models, in the form of decision trees or sets of if-then rules, that can be used to classify new cases, with emphasis on making the models understandable as well as accurate. The system has been applied successfully to tasks involving tens of thousands of cases described by hundreds of properties. The book starts from simple core learning methods and shows how they can be elaborated and extended to deal with typical problems such as missing data and over hitting. Advantages and disadvantages of the C4.5 approach are discussed and illustrated with several case studies. 
 
This book and software should be of interest to developers of classification-based intelligent systems and to students in machine learning and expert systems courses.",publish classifi system play major role machin learn knowledgebas system ross quinlan work id c wide acknowledg made signific contribut develop book complet guid c system implement c unix environ contain comprehens guid system use sourc code line implement note sourc code sampl dataset also avail inch floppi diskett sun workstat c start larg set case belong known class case describ mixtur nomin numer properti scrutin pattern allow class reliabl discrimin pattern express model form decis tree set ifthen rule use classifi new case emphasi make model understand well accur system appli success task involv ten thousand case describ hundr properti book start simpl core learn method show elabor extend deal typic problem miss data hit advantag disadvantag c approach discus illustr sever case studi book softwar interest develop classificationbas intellig system student machin learn expert system cours,1992,23968
Data Mining Practical Machine Learning Tools and Techniques,,,2014,17214
Machine learning - a probabilistic perspective,"All rights reserved. No part of this book may be reproduced in any form by any electronic or mechanical means (including photocopying, recording, or information storage and retrieval) without permission in writing from the publisher. Machine learning : a probabilistic perspective / Kevin P. Murphy. p. cm. — (Adaptive computation and machine learning series) Includes bibliographical references and index. Contents Preface xxvii 1 Introduction 1 1.1 Machine learning: what and why? 1 1.1.1 Types of machine learning 2 1.2 Supervised learning 3 1.2.1 Classification 3 1.2.2 Regression 8 1.3 Unsupervised learning 9 1.3.1 Discovering clusters 10 1.3.2 Discovering latent factors 11 1.3.3 Discovering graph structure 13 1.3.4 Matrix completion 14 1.4 Some basic concepts in machine learning 16 1.4.1 Parametric vs non-parametric models 16 1.4.2 A simple non-parametric classifier: K-nearest neighbors 16 1.4.3 The curse of dimensionality 18 1.4.4 Parametric models for classification and regression 19 1.4.5",right reserv part book may reproduc form electron mechan mean includ photocopi record inform storag retriev without permiss write publish machin learn probabilist perspect kevin p murphi p cm adapt comput machin learn seri includ bibliograph refer index content prefac xxvii introduct machin learn type machin learn supervis learn classif regress unsupervis learn discov cluster discov latent factor discov graph structur matrix complet basic concept machin learn parametr v nonparametr model simpl nonparametr classifi knearest neighbor cur dimension parametr model classif regress,2012,9242
Genetic Algorithms in Search Optimization and Machine Learning,"From the Publisher: 
This book brings together - in an informal and tutorial fashion - the computer techniques, mathematical tools, and research results that will enable both students and practitioners to apply genetic algorithms to problems in many fields. 
 
Major concepts are illustrated with running examples, and major algorithms are illustrated by Pascal computer programs. No prior knowledge of GAs or genetics is assumed, and only a minimum of computer programming and mathematics background is required.",publish book bring togeth inform tutori fashion comput techniqu mathemat tool research result enabl student practition appli genet algorithm problem mani field major concept illustr run exampl major algorithm illustr pascal comput program prior knowledg ga genet assum minimum comput program mathemat background requir,1988,60314
Pattern Recognition and Machine Learning,Probability Distributions.- Linear Models for Regression.- Linear Models for Classification.- Neural Networks.- Kernel Methods.- Sparse Kernel Machines.- Graphical Models.- Mixture Models and EM.- Approximate Inference.- Sampling Methods.- Continuous Latent Variables.- Sequential Data.- Combining Models.,probabl distribut linear model regress linear model classif neural network kernel method spar kernel machin graphic model mixtur model em approxim infer sampl method continu latent variabl sequenti data combin model,2006,36731
Interpretable Machine Learning,"Interpretable machine learning has become a popular research direction as deep neural networks (DNNs) have become more powerful and their applications more mainstream, yet DNNs remain difficult to understand. Testing with Concept Activation Vectors, TCAV, (Kim et al. 2017) is an approach to interpreting DNNs in a human-friendly way and has recently received significant attention in the machine learning community. The TCAV algorithm achieves a degree of global interpretability for DNNs through human-defined concepts as explanations. This project introduces Robust TCAV, which builds on TCAV and experimentally determines best practices for this method. The objectives for Robust TCAV are 1) Making TCAV more consistent by reducing variance in the TCAV score distribution and 2) Increasing CAV and TCAV score resistance to perturbations. A difference of means method for CAV generation was determined to be the best practice to achieve both objectives. Many areas of the TCAV process are explored including CAV visualization in low dimensions, negative class selection, and activation perturbation in the direction of a CAV. Finally, a thresholding technique is considered to remove noise in TCAV scores. This project is a step in the direction of making TCAV, an already impactful algorithm in interpretability, more reliable and useful for practitioners.",interpret machin learn becom popular research direct deep neural network dnn becom power applic mainstream yet dnn remain difficult understand test concept activ vector tcav kim et al approach interpret dnn humanfriendli way recent receiv signific attent machin learn commun tcav algorithm achiev degre global interpret dnn humandefin concept explan project introduc robust tcav build tcav experiment determin best practic method object robust tcav make tcav consist reduc varianc tcav score distribut increas cav tcav score resist perturb differ mean method cav gener determin best practic achiev object mani area tcav process explor includ cav visual low dimens neg class select activ perturb direct cav final threshold techniqu consid remov nois tcav score project step direct make tcav alreadi impact algorithm interpret reliabl use practition,2019,2418
Practical Black-Box Attacks against Machine Learning,"Machine learning (ML) models, e.g., deep neural networks (DNNs), are vulnerable to adversarial examples: malicious inputs modified to yield erroneous model outputs, while appearing unmodified to human observers. Potential attacks include having malicious content like malware identified as legitimate or controlling vehicle behavior. Yet, all existing adversarial example attacks require knowledge of either the model internals or its training data. We introduce the first practical demonstration of an attacker controlling a remotely hosted DNN with no such knowledge. Indeed, the only capability of our black-box adversary is to observe labels given by the DNN to chosen inputs. Our attack strategy consists in training a local model to substitute for the target DNN, using inputs synthetically generated by an adversary and labeled by the target DNN. We use the local substitute to craft adversarial examples, and find that they are misclassified by the targeted DNN. To perform a real-world and properly-blinded evaluation, we attack a DNN hosted by MetaMind, an online deep learning API. We find that their DNN misclassifies 84.24% of the adversarial examples crafted with our substitute. We demonstrate the general applicability of our strategy to many ML techniques by conducting the same attack against models hosted by Amazon and Google, using logistic regression substitutes. They yield adversarial examples misclassified by Amazon and Google at rates of 96.19% and 88.94%. We also find that this black-box attack strategy is capable of evading defense strategies previously found to make adversarial example crafting harder.",machin learn ml model eg deep neural network dnn vulner adversari exampl malici input modifi yield erron model output appear unmodifi human observ potenti attack includ malici content like malwar identifi legitim control vehicl behavior yet exist adversari exampl attack requir knowledg either model intern train data introduc first practic demonstr attack control remot host dnn knowledg inde capabl blackbox adversari observ label given dnn chosen input attack strategi consist train local model substitut target dnn use input synthet gener adversari label target dnn use local substitut craft adversari exampl find misclassifi target dnn perform realworld properlyblind evalu attack dnn host metamind onlin deep learn api find dnn misclassifi adversari exampl craft substitut demonstr gener applic strategi mani ml techniqu conduct attack model host amazon googl use logist regress substitut yield adversari exampl misclassifi amazon googl rate also find blackbox attack strategi capabl evad defens strategi previous found make adversari exampl craft harder,2016,3533
Practical Bayesian Optimization of Machine Learning Algorithms,"The use of machine learning algorithms frequently involves careful tuning of learning parameters and model hyperparameters. Unfortunately, this tuning is often a ""black art"" requiring expert experience, rules of thumb, or sometimes brute-force search. There is therefore great appeal for automatic approaches that can optimize the performance of any given learning algorithm to the problem at hand. In this work, we consider this problem through the framework of Bayesian optimization, in which a learning algorithm's generalization performance is modeled as a sample from a Gaussian process (GP). We show that certain choices for the nature of the GP, such as the type of kernel and the treatment of its hyperparameters, can play a crucial role in obtaining a good optimizer that can achieve expertlevel performance. We describe new algorithms that take into account the variable cost (duration) of learning algorithm experiments and that can leverage the presence of multiple cores for parallel experimentation. We show that these proposed algorithms improve on previous automatic procedures and can reach or surpass human expert-level optimization for many algorithms including latent Dirichlet allocation, structured SVMs and convolutional neural networks.",use machin learn algorithm frequent involv care tune learn paramet model hyperparamet unfortun tune often black art requir expert experi rule thumb sometim bruteforc search therefor great appeal automat approach optim perform given learn algorithm problem hand work consid problem framework bayesian optim learn algorithm gener perform model sampl gaussian process gp show certain choic natur gp type kernel treatment hyperparamet play crucial role obtain good optim achiev expertlevel perform describ new algorithm take account variabl cost durat learn algorithm experi leverag presenc multipl core parallel experiment show propos algorithm improv previou automat procedur reach surpass human expertlevel optim mani algorithm includ latent dirichlet alloc structur svm convolut neural network,2012,7520
Machine Learning Algorithms: A Review,.,,2022,1423
Thumbs up? Sentiment Classification using Machine Learning Techniques,"We consider the problem of classifying documents not by topic, but by overall sentiment, e.g., determining whether a review is positive or negative. Using movie reviews as data, we find that standard machine learning techniques definitively outperform human-produced baselines. However, the three machine learning methods we employed (Naive Bayes, maximum entropy classification, and support vector machines) do not perform as well on sentiment classification as on traditional topic-based categorization. We conclude by examining factors that make the sentiment classification problem more challenging.",consid problem classifi document topic overal sentiment eg determin whether review posit neg use movi review data find standard machin learn techniqu definit outperform humanproduc baselin howev three machin learn method employ naiv bay maximum entropi classif support vector machin perform well sentiment classif tradit topicbas categor conclud examin factor make sentiment classif problem challeng,2002,9245
UCI Repository of machine learning databases,,,1998,14257
The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web],"In this issue, “Best of the Web” presents the modified National Institute of Standards and Technology (MNIST) resources, consisting of a collection of handwritten digit images used extensively in optical character recognition and machine learning research.",issu best web present modifi nation institut standard technolog mnist resourc consist collect handwritten digit imag use extens optic charact recognit machin learn research,2012,4074
Machine learning for molecular and materials science,,,2018,2737
Programs for Machine Learning,"Algorithms for constructing decision trees are among the most well known and widely used of all machine learning methods. Among decision tree algorithms, J. Ross Quinlan's ID3 and its successor, C4.5, are probably the most popular in the machine learning community. These algorithms and variations on them have been the subject of numerous research papers since Quinlan introduced ID3. Until recently, most researchers looking for an introduction to decision trees turned to Quinlan's seminal 1986 Machine Learning journal article [Quinlan, 1986]. In his new book, C4.5: Programs for Machine Learning, Quinlan has put together a definitive, much needed description of his complete system, including the latest developments. As such, this book will be a welcome addition to the library of many researchers and students.",algorithm construct decis tree among well known wide use machin learn method among decis tree algorithm j ross quinlan id successor c probabl popular machin learn commun algorithm variat subject numer research paper sinc quinlan introduc id recent research look introduct decis tree turn quinlan semin machin learn journal articl quinlan new book c program machin learn quinlan put togeth definit much need descript complet system includ latest develop book welcom addit librari mani research student,1994,9091
"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","Through a series of recent breakthroughs, deep learning has boosted the entire field of machine learning. Now, even programmers who know close to nothing about this technology can use simple, efficient tools to implement programs capable of learning from data. This practical book shows you how. By using concrete examples, minimal theory, and two production-ready Python frameworks-scikit-learn and TensorFlow-author Aurelien Geron helps you gain an intuitive understanding of the concepts and tools for building intelligent systems. You'll learn a range of techniques, starting with simple linear regression and progressing to deep neural networks. With exercises in each chapter to help you apply what you've learned, all you need is programming experience to get started. Explore the machine learning landscape, particularly neural nets Use scikit-learn to track an example machine-learning project end-to-end Explore several training models, including support vector machines, decision trees, random forests, and ensemble methods Use the TensorFlow library to build and train neural nets Dive into neural net architectures, including convolutional nets, recurrent nets, and deep reinforcement learning Learn techniques for training and scaling deep neural nets Apply practical code examples without acquiring excessive machine learning theory or algorithm details",seri recent breakthrough deep learn boost entir field machin learn even programm know close noth technolog use simpl effici tool implement program capabl learn data practic book show use concret exampl minim theori two productionreadi python frameworksscikitlearn tensorflowauthor aurelien geron help gain intuit understand concept tool build intellig system youll learn rang techniqu start simpl linear regress progress deep neural network exercis chapter help appli youv learn need program experi get start explor machin learn landscap particularli neural net use scikitlearn track exampl machinelearn project endtoend explor sever train model includ support vector machin decis tree random forest ensembl method use tensorflow librari build train neural net dive neural net architectur includ convolut net recurr net deep reinforc learn learn techniqu train scale deep neural net appli practic code exampl without acquir excess machin learn theori algorithm detail,2017,2733
Machine learning in automated text categorization,"The automated categorization (or classification) of texts into predefined categories has witnessed a booming interest in the last 10 years, due to the increased availability of documents in digital form and the ensuing need to organize them. In the research community the dominant approach to this problem is based on machine learning techniques: a general inductive process automatically builds a classifier by learning, from a set of preclassified documents, the characteristics of the categories. The advantages of this approach over the knowledge engineering approach (consisting in the manual definition of a classifier by domain experts) are a very good effectiveness, considerable savings in terms of expert labor power, and straightforward portability to different domains. This survey discusses the main approaches to text categorization that fall within the machine learning paradigm. We will discuss in detail issues pertaining to three different problems, namely, document representation, classifier construction, and classifier evaluation.",autom categor classif text predefin categori wit boom interest last year due increas avail document digit form ensu need organ research commun domin approach problem base machin learn techniqu gener induct process automat build classifi learn set preclassifi document characterist categori advantag approach knowledg engin approach consist manual definit classifi domain expert good effect consider save term expert labor power straightforward portabl differ domain survey discus main approach text categor fall within machin learn paradigm discus detail issu pertain three differ problem name document represent classifi construct classifi evalu,2001,8829
Adversarial Machine Learning at Scale,"Adversarial examples are malicious inputs designed to fool machine learning models. They often transfer from one model to another, allowing attackers to mount black box attacks without knowledge of the target model's parameters. Adversarial training is the process of explicitly training a model on adversarial examples, in order to make it more robust to attack or to reduce its test error on clean inputs. So far, adversarial training has primarily been applied to small problems. In this research, we apply adversarial training to ImageNet. Our contributions include: (1) recommendations for how to succesfully scale adversarial training to large models and datasets, (2) the observation that adversarial training confers robustness to single-step attack methods, (3) the finding that multi-step attack methods are somewhat less transferable than single-step attack methods, so single-step attacks are the best for mounting black-box attacks, and (4) resolution of a ""label leaking"" effect that causes adversarially trained models to perform better on adversarial examples than on clean examples, because the adversarial example construction process uses the true label and the model can learn to exploit regularities in the construction process.",adversari exampl malici input design fool machin learn model often transfer one model anoth allow attack mount black box attack without knowledg target model paramet adversari train process explicitli train model adversari exampl order make robust attack reduc test error clean input far adversari train primarili appli small problem research appli adversari train imagenet contribut includ recommend succes scale adversari train larg model dataset observ adversari train confer robust singlestep attack method find multistep attack method somewhat less transfer singlestep attack method singlestep attack best mount blackbox attack resolut label leak effect caus adversari train model perform better adversari exampl clean exampl adversari exampl construct process use true label model learn exploit regular construct process,2016,3006
Large-Scale Machine Learning with Stochastic Gradient Descent,,,2010,5682
Small data machine learning in materials science,,,2023,211
Probabilistic Graphical Models: Principles and Techniques - Adaptive Computation and Machine Learning,"Most tasks require a person or an automated system to reasonto reach conclusions based on available information. The framework of probabilistic graphical models, presented in this book, provides a general approach for this task. The approach is model-based, allowing interpretable models to be constructed and then manipulated by reasoning algorithms. These models can also be learned automatically from data, allowing the approach to be used in cases where manually constructing a model is difficult or even impossible. Because uncertainty is an inescapable aspect of most real-world applications, the book focuses on probabilistic models, which make the uncertainty explicit and provide models that are more faithful to reality. Probabilistic Graphical Models discusses a variety of models, spanning Bayesian networks, undirected Markov networks, discrete and continuous models, and extensions to deal with dynamical systems and relational data. For each class of models, the text describes the three fundamental cornerstones: representation, inference, and learning, presenting both basic concepts and advanced techniques. Finally, the book considers the use of the proposed framework for causal reasoning and decision making under uncertainty. The main text in each chapter provides the detailed technical development of the key ideas. Most chapters also include boxes with additional material: skill boxes, which describe techniques; case study boxes, which discuss empirical cases related to the approach described in the text, including applications in computer vision, robotics, natural language understanding, and computational biology; and concept boxes, which present significant concepts drawn from the material in the chapter. Instructors (and readers) can group chapters in various combinations, from core topics to more technically advanced material, to suit their particular needs. Adaptive Computation and Machine Learning series",task requir person autom system reasonto reach conclus base avail inform framework probabilist graphic model present book provid gener approach task approach modelbas allow interpret model construct manipul reason algorithm model also learn automat data allow approach use case manual construct model difficult even imposs uncertainti inescap aspect realworld applic book focus probabilist model make uncertainti explicit provid model faith realiti probabilist graphic model discus varieti model span bayesian network undirect markov network discret continu model extens deal dynam system relat data class model text describ three fundament cornerston represent infer learn present basic concept advanc techniqu final book consid use propos framework causal reason decis make uncertainti main text chapter provid detail technic develop key idea chapter also includ box addit materi skill box describ techniqu case studi box discus empir case relat approach describ text includ applic comput vision robot natur languag understand comput biolog concept box present signific concept drawn materi chapter instructor reader group chapter variou combin core topic technic advanc materi suit particular need adapt comput machin learn seri,2009,7621
Optimization Methods for Large-Scale Machine Learning,"This paper provides a review and commentary on the past, present, and future of numerical optimization algorithms in the context of machine learning applications. Through case studies on text classification and the training of deep neural networks, we discuss how optimization problems arise in machine learning and what makes them challenging. A major theme of our study is that large-scale machine learning represents a distinctive setting in which the stochastic gradient (SG) method has traditionally played a central role while conventional gradient-based nonlinear optimization techniques typically falter. Based on this viewpoint, we present a comprehensive theory of a straightforward, yet versatile SG algorithm, discuss its practical behavior, and highlight opportunities for designing algorithms with improved performance. This leads to a discussion about the next generation of optimization methods for large-scale machine learning, including an investigation of two main streams of research on techniques that diminish noise in the stochastic directions and methods that make use of second-order derivative approximations.",paper provid review commentari past present futur numer optim algorithm context machin learn applic case studi text classif train deep neural network discus optim problem aris machin learn make challeng major theme studi largescal machin learn repres distinct set stochast gradient sg method tradit play central role convent gradientbas nonlinear optim techniqu typic falter base viewpoint present comprehens theori straightforward yet versatil sg algorithm discus practic behavior highlight opportun design algorithm improv perform lead discus next gener optim method largescal machin learn includ investig two main stream research techniqu diminish nois stochast direct method make use secondord deriv approxim,2016,3025
